epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,132.114,0.81076,0.99056,0.93677,0.82793,0.02667,1,0.14676,0.08873,0.02667,1,0.12299,0.06805,1.06348,0.76026,2.69413,0.82298,0.000478888,0.000478888,0.000478888
64,133.532,0.98796,0.9012,0.92565,0.8697,0.02667,1,0.14676,0.08873,0.02667,1,0.12299,0.06805,1.06348,0.76026,2.69413,0.82298,0.000474138,0.000474138,0.000474138
65,134.984,1.70242,0.97967,1.69962,0.95247,0.02667,1,0.17589,0.11224,0.02667,1,0.15614,0.08492,0.96316,0.76196,2.59309,0.81377,0.000468992,0.000468992,0.000468992
66,136.241,0.80902,0.62077,0.9898,0.97681,0.02667,1,0.17589,0.11224,0.02667,1,0.15614,0.08492,0.96316,0.76196,2.59309,0.81377,0.00046345,0.00046345,0.00046345
67,137.556,1.30866,1.29097,1.00303,0.82165,0.02667,1,0.17589,0.11224,0.02667,1,0.15614,0.08492,0.96316,0.76196,2.59309,0.81377,0.000457512,0.000457512,0.000457512
68,139.358,1.0967,0.95318,0.94264,0.8808,0.02667,1,0.17589,0.11224,0.02667,1,0.15614,0.08492,0.96316,0.76196,2.59309,0.81377,0.000451178,0.000451178,0.000451178
69,140.948,0.85303,0.83069,0.73027,0.81098,0.02667,1,0.17589,0.11224,0.02667,1,0.15614,0.08492,0.96316,0.76196,2.59309,0.81377,0.000444448,0.000444448,0.000444448
70,142.984,1.21406,1.2049,0.97839,0.8728,0.02667,1,0.17589,0.11224,0.02667,1,0.15614,0.08492,0.96316,0.76196,2.59309,0.81377,0.000437322,0.000437322,0.000437322
71,144.838,0.97221,1.10073,0.98226,0.84784,0.02667,1,0.6603,0.44064,0.02667,1,0.35031,0.11896,0.86899,0.74265,2.44174,0.8034,0.0004298,0.0004298,0.0004298
72,146.342,0.72839,0.55958,0.80797,0.58991,0.02667,1,0.6603,0.44064,0.02667,1,0.35031,0.11896,0.86899,0.74265,2.44174,0.8034,0.000421882,0.000421882,0.000421882
73,147.803,1.0721,0.92409,0.91691,0.77544,0.02667,1,0.6603,0.44064,0.02667,1,0.35031,0.11896,0.86899,0.74265,2.44174,0.8034,0.000413568,0.000413568,0.000413568
74,149.224,1.05267,0.64274,1.0646,0.88741,0.02667,1,0.6603,0.44064,0.02667,1,0.35031,0.11896,0.86899,0.74265,2.44174,0.8034,0.000404858,0.000404858,0.000404858
75,150.769,1.13931,0.98028,0.90568,0.82561,0.02667,1,0.6603,0.44064,0.02667,1,0.35031,0.11896,0.86899,0.74265,2.44174,0.8034,0.000395752,0.000395752,0.000395752
76,152.647,1.04461,0.67206,0.85916,0.84666,0.02667,1,0.6603,0.44064,0.02667,1,0.35031,0.11896,0.86899,0.74265,2.44174,0.8034,0.00038625,0.00038625,0.00038625
77,154.769,0.64469,0.74584,0.79083,0.84012,0.02667,1,0.91232,0.65608,0.02667,1,0.57095,0.19274,0.79538,0.68664,2.23229,0.79295,0.000376352,0.000376352,0.000376352
78,156.237,1.02807,0.95619,0.80137,0.80563,0.02667,1,0.91232,0.65608,0.02667,1,0.57095,0.19274,0.79538,0.68664,2.23229,0.79295,0.000366058,0.000366058,0.000366058
79,158.473,1.33777,1.53533,0.95303,0.80224,0.02667,1,0.91232,0.65608,0.02667,1,0.57095,0.19274,0.79538,0.68664,2.23229,0.79295,0.000355368,0.000355368,0.000355368
80,160.512,1.0241,1.0577,0.95226,0.74525,0.02667,1,0.91232,0.65608,0.02667,1,0.57095,0.19274,0.79538,0.68664,2.23229,0.79295,0.000344282,0.000344282,0.000344282
81,161.906,1.09267,1.02998,1.1365,0.84195,0.02667,1,0.91232,0.65608,0.02667,1,0.57095,0.19274,0.79538,0.68664,2.23229,0.79295,0.0003328,0.0003328,0.0003328
82,163.31,0.70502,0.48528,0.67632,0.79519,0.02667,1,0.91232,0.65608,0.02667,1,0.57095,0.19274,0.79538,0.68664,2.23229,0.79295,0.000320922,0.000320922,0.000320922
83,164.767,1.53961,1.08491,1.07077,0.86177,0.02667,1,0.91232,0.65608,0.02667,1,0.57095,0.19274,0.79538,0.68664,2.23229,0.79295,0.000308648,0.000308648,0.000308648
84,166.29,0.79763,0.99354,0.63504,0.7992,1,0.99916,0.995,0.74571,0.74976,0.74916,0.68246,0.27421,0.78391,0.62413,1.93812,0.78743,0.000295978,0.000295978,0.000295978
85,167.692,0.66119,0.35193,0.81874,0.90994,1,0.99916,0.995,0.74571,0.74976,0.74916,0.68246,0.27421,0.78391,0.62413,1.93812,0.78743,0.000282912,0.000282912,0.000282912
86,169.436,1.08386,0.62211,0.90736,0.87344,1,0.99916,0.995,0.74571,0.74976,0.74916,0.68246,0.27421,0.78391,0.62413,1.93812,0.78743,0.00026945,0.00026945,0.00026945
87,170.779,0.74806,0.73435,0.84969,0.74578,1,0.99916,0.995,0.74571,0.74976,0.74916,0.68246,0.27421,0.78391,0.62413,1.93812,0.78743,0.000255592,0.000255592,0.000255592
88,173.536,0.70668,0.53172,0.81405,0.77485,1,0.99916,0.995,0.74571,0.74976,0.74916,0.68246,0.27421,0.78391,0.62413,1.93812,0.78743,0.000241338,0.000241338,0.000241338
89,175.212,1.00427,0.34849,0.97853,0.90016,1,0.99916,0.995,0.74571,0.74976,0.74916,0.68246,0.27421,0.78391,0.62413,1.93812,0.78743,0.000226688,0.000226688,0.000226688
90,177.368,0.97871,0.95714,1.01093,1.03003,1,0.99916,0.995,0.74571,0.74976,0.74916,0.68246,0.27421,0.78391,0.62413,1.93812,0.78743,0.000211642,0.000211642,0.000211642
91,179.002,0.81804,0.66608,0.94009,0.94057,1,0.83737,0.995,0.76075,0.7576,0.625,0.70105,0.31253,0.78693,0.61566,1.63502,0.7811,0.0001962,0.0001962,0.0001962
92,180.906,1.00974,1.3545,1.00923,0.88482,1,0.83737,0.995,0.76075,0.7576,0.625,0.70105,0.31253,0.78693,0.61566,1.63502,0.7811,0.000180362,0.000180362,0.000180362
93,182.682,0.80853,0.79639,0.87848,0.68782,1,0.83737,0.995,0.76075,0.7576,0.625,0.70105,0.31253,0.78693,0.61566,1.63502,0.7811,0.000164128,0.000164128,0.000164128
94,184.144,0.76122,0.53845,0.88495,0.91911,1,0.83737,0.995,0.76075,0.7576,0.625,0.70105,0.31253,0.78693,0.61566,1.63502,0.7811,0.000147498,0.000147498,0.000147498
95,186.143,1.07809,1.2662,1.25877,0.76941,1,0.83737,0.995,0.76075,0.7576,0.625,0.70105,0.31253,0.78693,0.61566,1.63502,0.7811,0.000130472,0.000130472,0.000130472
96,187.534,0.71412,0.51763,0.8231,0.86496,1,0.83737,0.995,0.76075,0.7576,0.625,0.70105,0.31253,0.78693,0.61566,1.63502,0.7811,0.00011305,0.00011305,0.00011305
97,191.127,1.43771,3.32539,1.60748,0.74574,1,0.83737,0.995,0.76075,0.7576,0.625,0.70105,0.31253,0.78693,0.61566,1.63502,0.7811,9.5232e-05,9.5232e-05,9.5232e-05
98,193.091,1.65281,1.33105,1.5993,0.78863,1,0.83737,0.995,0.76075,0.7576,0.625,0.70105,0.31253,0.78693,0.61566,1.63502,0.7811,7.7018e-05,7.7018e-05,7.7018e-05
99,194.537,0.8463,0.56534,0.78614,0.85439,0.98121,1,0.995,0.76595,0.86449,0.80146,0.87653,0.31818,0.80512,0.64158,1.27813,0.78282,5.8408e-05,5.8408e-05,5.8408e-05
100,196.057,0.64397,0.28089,0.80663,0.72702,0.98121,1,0.995,0.76595,0.86449,0.80146,0.87653,0.31818,0.80512,0.64158,1.27813,0.78282,3.9402e-05,3.9402e-05,3.9402e-05
